总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
155.0,16891,青山 青山 二至三环,奥山澜橼,3室2厅1厨1卫,高楼层 (共20层),91.77㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-23,商品房,2017-01-16,普通住宅,满五年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,20230924MU3h2
38.8,8318,青山 青山 一至二环,临江港湾,1室1厅1厨1卫,中楼层 (共11层),46.65㎡,平层,36.74㎡,板楼,南 北,钢混结构,简装,一梯六户,有,暂无数据,2023-04-26,拆迁还建房,2013-05-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210512uENmU
86.0,9286,青山 青山 二至三环,碧苑花园,2室1厅1厨1卫,低楼层 (共6层),92.62㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,无,暂无数据,2023-06-02,商品房,2006-12-05,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,202105053VPlg	
109.0,15741,青山 青山 ,八大家花园43街坊,2室2厅1厨1卫,中楼层 (共25层),69.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-04-19,限价商品房,2019-07-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230419kn2mH
68.0,9929,青山 青山 ,五十一街,2室1厅1厨1卫,中楼层 (共6层),68.49㎡,平层,56.82㎡,板楼,南,钢混结构,毛坯,暂无数据,无,暂无数据,2023-05-23,房改房,2009-07-29,普通住宅,满五年,非共有,"
                                有抵押 7万元 农行 客户偿还
                              ",已上传房本照片,20230522LLGea
99.0,9529,青山 青山 三至四环,冶金109街坊,2室2厅1厨1卫,中楼层 (共7层),103.9㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,暂无数据,无,暂无数据,2023-06-08,商品房,2004-06-04,普通住宅,满五年,共有,"
                                有抵押 40万元
                              ",已上传房本照片,202306112VZ7U
82.0,8837,青山 青山 二至三环,碧苑花园,2室2厅1厨1卫,中楼层 (共7层),92.8㎡,平层,暂无数据,塔楼,南 北,混合结构,简装,暂无数据,无,暂无数据,2023-02-04,商品房,2004-06-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230208BqmZA	
66.0,8719,青山 青山 三至四环,七星天兴花园,2室1厅1厨1卫,低楼层 (共18层),75.7㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,暂无数据,2023-09-21,拆迁还建房,2019-07-31,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20191226rTOxt
97.0,13358,青山 青山 ,钢都花园123街坊,2室1厅1厨1卫,低楼层 (共7层),72.62㎡,平层,62.38㎡,板楼,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-10-24,商品房,2015-06-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20231108HY9Pi
72.0,12194,青山 青山 三至四环,钢花村街120社区,2室1厅1厨1卫,中楼层 (共6层),59.05㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,无,暂无数据,2023-05-08,房改房,2019-08-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230508rMdYv
165.0,17062,青山 青山 二至三环,招商一江璟城,3室2厅1厨1卫,中楼层 (共56层),96.71㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,五梯六户,有,暂无数据,2023-02-17,商品房,2022-05-22,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,2023021780ESr
155.0,17167,青山 青山 二至三环,印力中心,2室1厅1厨1卫,高楼层 (共37层),90.29㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-21,商品房,2019-08-12,普通住宅,满两年,共有,"
                                有抵押 25万元
                              ",已上传房本照片,20220702IKZiG
105.0,10756,青山 青山 三至四环,绿地香树花城派克公馆,3室2厅1厨1卫,高楼层 (共54层),97.62㎡,平层,70.93㎡,暂无数据,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-08-11,商品房,2023-08-22,普通住宅,未满两年,非共有,"
                                有抵押 63万元 交通 客户偿还
                              ",已上传房本照片,20230822h1ylK
172.0,17786,青山 青山 二至三环,招商一江璟城,3室1厅1厨1卫,低楼层 (共56层),96.71㎡,平层,暂无数据,板楼,南,钢混结构,精装,五梯六户,有,暂无数据,2023-12-29,商品房,2022-07-27,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231215KqUwL
115.0,11995,青山 青山 三至四环,绿地香树花城派克公馆,3室2厅1厨1卫,中楼层 (共47层),95.88㎡,平层,72.52㎡,板楼,南,钢混结构,其他,三梯六户,有,暂无数据,2024-01-17,商品房,2024-01-17,普通住宅,未满两年,非共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片,20231022xSYUQ
70.0,11238,青山 青山 ,和平花苑西区,2室1厅1厨1卫,高楼层 (共7层),62.29㎡,平层,暂无数据,平房,南,钢混结构,精装,暂无数据,无,暂无数据,2023-08-12,商品房,2022-08-12,普通住宅,未满两年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,20230821STk48
